Generation,Best Fitness,Worst Fitness,Best Fitness So Far
1,363703.5,1999254.0,363703.5
2,607951.5,2693763.0,363703.5
3,558272.5,2248716.0,363703.5
4,595676.0,1884597.5,363703.5
5,545783.0,2270471.5,363703.5
6,566834.5,2005927.5,363703.5
7,496808.0,2180477.0,363703.5
8,509615.0,2265494.5,363703.5
9,641418.0,1982662.0,363703.5
10,622737.0,2071825.0,363703.5
11,679045.5,2109426.0,363703.5
12,564315.5,2066425.5,363703.5
13,536748.0,2168737.0,363703.5
14,522271.0,2225439.5,363703.5
15,324301.5,2323808.5,324301.5
16,595558.0,2155814.5,324301.5
17,480299.0,1929453.0,324301.5
18,481778.5,2017147.5,324301.5
19,565337.0,2387334.0,324301.5
20,674413.5,2395788.0,324301.5
21,646277.0,2184130.0,324301.5
22,457356.5,2038910.5,324301.5
23,707202.0,2079068.5,324301.5
24,466865.5,2517401.5,324301.5
25,281210.5,2047926.5,281210.5
26,531463.0,2053443.5,281210.5
27,613829.0,1707240.0,281210.5
28,476686.5,2076304.0,281210.5
29,552305.0,1868571.5,281210.5
30,421395.0,2485962.0,281210.5
31,522155.5,1759305.5,281210.5
32,612346.5,1892574.0,281210.5
33,519808.0,2017285.0,281210.5
34,362840.5,2133429.0,281210.5
35,533453.0,2076245.0,281210.5
36,480559.0,2007487.0,281210.5
37,546760.5,1926423.0,281210.5
38,483311.5,2202560.0,281210.5
39,593280.5,2116791.5,281210.5
40,495461.0,1943686.5,281210.5
41,462073.0,1975031.5,281210.5
42,596332.0,1790869.0,281210.5
43,431999.5,2027015.0,281210.5
44,689729.5,1790579.5,281210.5
45,387363.5,2165270.0,281210.5
46,685407.5,2009823.0,281210.5
47,582771.0,2218538.0,281210.5
48,638445.5,1856419.5,281210.5
49,561702.5,2303540.5,281210.5
50,470103.0,1962881.5,281210.5
51,420294.0,1862918.0,281210.5
52,556536.5,1777242.5,281210.5
53,454079.0,1821804.5,281210.5
54,518310.5,1904513.5,281210.5
55,461735.0,2102839.5,281210.5
56,434982.5,1776378.5,281210.5
57,615174.0,1903319.5,281210.5
58,542829.5,1969839.0,281210.5
59,740462.5,1745916.5,281210.5
60,438843.0,1925404.0,281210.5
61,675712.0,2170539.0,281210.5
62,485126.5,1900973.0,281210.5
63,427274.0,1940590.0,281210.5
64,602014.0,2306992.5,281210.5
65,565635.5,1912822.5,281210.5
66,455053.0,1858778.5,281210.5
67,517428.5,2098328.0,281210.5
68,478871.0,2048556.5,281210.5
69,445614.5,1904230.0,281210.5
70,373972.5,2090022.0,281210.5
71,511887.0,1759872.5,281210.5
72,546383.5,1814296.0,281210.5
